, Total Cost ex VAT ,Travel Class,day,month,Journey Finish Point_le,Journey Start Point_le,Air Carrier_le
0,81.52,0,10,2,109,39,32
1,217.14,0,29,3,122,58,28
2,7969.2,2,7,4,166,59,17
3,272.82,2,7,4,66,58,17
4,7969.2,2,7,4,166,59,17
5,387.6,0,8,4,127,59,12
6,206.03,0,9,4,121,95,32
7,278.8,0,10,4,121,59,17
8,278.8,0,10,4,121,59,17
9,214.68,0,12,4,60,59,1
10,190.43,0,12,4,66,96,28
11,335.8,0,13,4,121,59,17
12,298.17,0,13,4,66,60,17
13,287.22,2,13,4,66,59,17
14,258.51,0,13,4,121,95,32
15,145.0,0,13,4,121,86,11
16,117.9,0,13,4,121,58,17
17,117.9,0,13,4,121,58,17
18,336.6,0,14,4,187,58,17
19,196.4,0,14,4,121,58,17
20,196.4,0,14,4,121,58,17
21,177.51,0,14,4,197,60,59
22,111.4,0,14,4,121,58,17
23,1472.42,2,15,4,17,59,18
24,879.02,2,15,4,17,59,18
25,1472.42,2,15,4,17,59,18
26,438.2,2,16,4,6,58,17
27,181.06,0,16,4,109,4,28
28,181.06,0,16,4,109,4,28
29,164.82,0,16,4,109,32,17
30,62.4,0,16,4,102,8,48
31,53.99,0,16,4,71,15,54
32,53.99,0,16,4,71,15,54
33,53.99,0,16,4,71,15,54
34,53.99,0,16,4,71,15,54
35,559.31,0,19,4,191,65,59
36,503.41,0,19,4,152,16,8
37,295.73,0,19,4,152,59,8
38,409.55,0,20,4,106,32,32
39,409.55,0,20,4,106,32,32
40,334.87,0,20,4,18,95,32
41,217.17,0,20,4,111,32,17
42,199.68,0,20,4,60,59,1
43,190.17,0,20,4,66,60,17
44,152.7,0,20,4,110,52,24
45,116.69,0,20,4,49,59,18
46,116.69,0,20,4,49,59,18
47,65.18,0,20,4,18,59,18
48,224.4,0,21,4,121,58,17
49,224.4,0,21,4,121,58,17
50,84.16,0,21,4,109,24,28
51,84.16,0,21,4,109,24,28
52,71.44,0,21,4,66,16,28
53,63.98,0,21,4,110,10,1
54,338.81,0,22,4,6,60,8
55,338.81,0,22,4,6,60,8
56,270.23,0,22,4,66,60,17
57,132.88,0,22,4,77,58,17
58,1709.63,0,23,4,54,59,8
59,274.8,2,23,4,121,59,17
60,198.88,0,23,4,77,58,17
61,95.98,0,23,4,110,39,17
62,1709.63,0,23,4,54,59,8
63,346.04,2,27,4,1,59,17
64,251.11,0,28,4,26,32,32
65,110.36,0,28,4,18,61,28
66,110.36,0,28,4,18,61,28
67,97.19,0,28,4,113,9,28
68,97.19,0,28,4,113,9,28
69,97.19,0,28,4,113,9,28
70,97.19,0,28,4,113,9,28
71,305.5,0,29,4,177,95,27
72,244.7,0,29,4,177,95,27
73,419.1,0,4,5,74,59,17
74,2095.13,2,5,5,126,59,17
75,1191.13,1,5,5,129,59,17
76,251.89,0,5,5,140,59,17
77,245.81,0,5,5,60,60,8
78,239.96,0,5,5,140,58,32
79,235.89,0,5,5,140,59,17
80,2095.13,2,5,5,126,59,17
81,1191.13,1,5,5,129,59,17
82,327.18,2,6,5,18,59,18
83,327.18,2,6,5,18,59,18
84,167.76,0,6,5,119,61,28
85,167.75,0,6,5,119,61,28
86,83.9,0,6,5,111,29,8
87,83.9,0,6,5,111,29,8
